Zeitschrift gefiltert;Fachbereich;Schlagworte;field;key word
Nurse Education Today;Medizin                    ;Medizinische Ausbildung  |  Krankenpflege  |  Pflegeausbildung          ;medicine                    ;Medical education | Nursing | Nursing training          
Nursing in Critical Care;Medizin                    ;Intensiv- und Notfallmedizin  |  Krankenpflege          ;medicine                    ;Intensive care and emergency medicine | Nursing care          
Nursing Ethics;Medizin                    ;Krankenpflege  |  Pflegeethik  |  Medizinethik          ;medicine                    ;Nursing care | Nursing ethics | Medical ethics          
Nursing & Health Sciences;Medizin                    ;Krankenpflege          ;medicine                    ;nursing care          
Nursing Inquiry;Medizin                    ;Krankenpflege          ;medicine                    ;nursing care          
Nursing and Midwifery Studies;Medizin;Gynäkologie und Geburtshilfe | Krankenpflege;medicine;Gynaecology and Obstetrics | Nursing
Nursing Open;Medizin                    ;Krankenpflege          ;medicine                    ;nursing care          
Nursing Philosophy;Medizin                    ;Krankenpflege  |  Pflege-Philosophie          ;medicine                    ;Nursing care | nursing philosophy          
Nursing Research;Medizin                    ;Krankenpflege  |  Pflegeforschung          ;medicine                    ;Nursing care | Nursing research          
Nutrients;Land- und Forstwirtschaft u.a.  |  Verfahrenstechnik, Biotechnologie                    ;Lebensmitteltechnik  |  Ernährungswissenschaft          ;Agriculture and forestry, e. g. | Process engineering, biotechnology                    ;Food Technology | Nutritional Science          
Nutrition (Burbank, Los Angeles County, Calif.);Land- und Forstwirtschaft u.a. | Medizin;Ernährungswissenschaften | Ernährungsmedizin;Agriculture and forestry etc. | Medicine;Nutritional Sciences | Nutritional Medicine
Nutrition Bulletin / Bnf;Land- und Forstwirtschaft u.a. | Medizin;Ernährungswissenschaften | Ernährungsmedizin;Agriculture and forestry etc. | Medicine;Nutritional Sciences | Nutritional Medicine
Nutrition and Cancer;Medizin                    ;Ernährungsmedizin  |  Onkologie          ;medicine                    ;Nutritional Medicine | Oncology          
Nutrition & Diabetes;Land- und Forstwirtschaft u.a.  |  Medizin                    ;Ernährungswissenschaften  |  Ernährungsmedizin;Agriculture and forestry etc. | Medicine                    ;Nutritional Sciences | Nutritional Medicine
Nutrition Journal;Land- und Forstwirtschaft u.a.                    ;Ernährungswissenschaften          ;Agriculture and forestry etc.                    ;nutritional sciences          
Nutrition & Metabolism;Land- und Forstwirtschaft u.a.  |  Medizin                    ;Ernährungswissenschaften  |  Ernährungsmedizin;Agriculture and forestry etc. | Medicine                    ;Nutritional Sciences | Nutritional Medicine
Nutrition, Metabolism, and Cardiovascular Diseases;Medizin                    ;Ernährungsmedizin  |  Angiologie          ;medicine                    ;Nutritional Medicine | Angiology          
Nutritional Neuroscience;Medizin                    ;Ernährungsmedizin  |  Neurologie          ;medicine                    ;Nutritional Medicine | Neurology          
Nutrition Research (New York, N.y.);Land- und Forstwirtschaft u.a. | Medizin;Ernährungswissenschaften | Ernährungsmedizin;Agriculture and forestry etc. | Medicine;Nutritional Sciences | Nutritional Medicine
Nutrition Research Reviews;Land- und Forstwirtschaft u.a.                    ;Ernährungswissenschaften  |  Tiermedizin          ;Agriculture and forestry etc.                    ;Nutritional Sciences | Veterinary Medicine          
Nutrition Reviews;Biologie  |  Land- und Forstwirtschaft u.a.  |  Medizin                    ;Ernährungswissenschaften          ;Biology | Agriculture and Forestry e. g. | Medicine                    ;nutritional sciences          
New Biotechnology;Biologie                    ;Biotechnologie          ;biology                    ;biotechnology          
The New England Journal of Medicine;Medizin                    ;Allgemeine medizinische Zeitschriften          ;medicine                    ;General medical journals          
OAlib;Naturwissenschaft allgemein                    ;Allgemeine Naturwissenschaften          ;Science in general                    ;General Natural Sciences          
OA family medicine;Medizin                    ;Allgemeinmedizin          ;medicine                    ;general medicine          
Obesity (Silver Spring, Md.);Medizin                    ;Adipositas  |  Endokrinologie          ;medicine                    ;Obesity | Endocrinology          
Obesity Facts;Medizin                    ;Adipositas  |  Endokrinologie          ;medicine                    ;Obesity | Endocrinology          
Obesity, open access;Medizin                    ;Adipositas  |  Endokrinologie          ;medicine                    ;Obesity | Endocrinology          
Obesity Reviews;Medizin                    ;Ernährungsmedizin;medicine                    ;nutritional medicine
Obesity Science & Practice;Medizin                    ;Medizinische Forschung          ;medicine                    ;Medical research          
Obesity Surgery;Medizin                    ;Ernährungsmedizin  |  Chirurgie          ;medicine                    ;Nutritional Medicine | Surgery          
Obstetrics, Gynaecology and Reproductive Medicine;Medizin                    ;Gynäkologie und Geburtshilfe          ;medicine                    ;Gynaecology and obstetrics          
Occupational and Environmental Medicine;Medizin                    ;Arbeitsmedizin  |  Umweltmedizin          ;medicine                    ;Occupational Medicine | Environmental Medicine          
Occupational ergonomics : the journal of the International Society for Occupational Ergonomics and Safety;Technik allgemein;Arbeitsschutz;General technology;industrial safety
Occupational Medicine (Oxford, England);Medizin                    ;Arbeitsmedizin          ;medicine                    ;occupational medicine          
Occupational medicine & health affairs;Medizin                    ;Arbeitsmedizin          ;medicine                    ;occupational medicine          
Ocular Immunology and Inflammation;Medizin                    ;Immunologie  |  Augenheilkunde          ;medicine                    ;Immunology | Ophthalmology          
Odontology;Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
Oecologia;Biologie                    ;Allgemeine Ökologie          ;biology                    ;General Ecology          
Oikos (Copenhagen, Denmark);Biologie;Regionale Ökologie Nordeuropa;biology;Regional Ecology Northern Europe
Oman Journal of Ophthalmology;Medizin                    ;Augenheilkunde          ;medicine                    ;ophthalmology          
OMICS : a Journal of Integrative Biology;Biologie                    ;Mikrobiologie  |  Genetik          ;biology                    ;Microbiology | Genetics          
OMICS journal of radiology;Medizin                    ;Radiologie          ;medicine                    ;radiology          
Oncogene;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Oncogenesis;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Oncoimmunology;Medizin                    ;Immunologie          ;medicine                    ;immunology          
The Oncologist;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Oncology;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Oncology discovery;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Oncology Letters;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Oncology Reports;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Oncoscience;Medizin                    ;Onkologie          ;medicine                    ;oncology          
Oncotarget;Medizin                    ;Onkologie          ;medicine                    ;oncology          
OncoTargets and therapy;Medizin                    ;Onkologie          ;medicine                    ;oncology          
One Health;Medizin                    ;Allgemeine medizinische Zeitschriften          ;medicine                    ;General medical journals          
Open Access Macedonian Journal of Medical Sciences;Medizin                    ;Allgemeine medizinische Zeitschriften          ;medicine                    ;General medical journals          
The Open AIDS Journal;Medizin                    ;AIDS          ;medicine                    ;AIDS          
The Open Biochemistry Journal;Biologie  |  Chemie und Pharmazie                    ;Biochemie  |  Molekularbiologie          ;Biology | Chemistry and Pharmacy                    ;Biochemistry | Molecular Biology          
Open biology;Biologie                    ;Allgemeine Biowissenschaften          ;biology                    ;General Biosciences          
The Open Biomedical Engineering Journal;Medizin  |  Verfahrenstechnik, Biotechnologie                    ;Biomedizinische Technik          ;Medicine | Process Engineering, Biotechnology                    ;Biomedical Engineering          
The Open Cardiovascular Medicine Journal;Medizin                    ;Kardiologie          ;medicine                    ;cardiology          
Open Clinical Cancer Journal;Medizin                    ;Onkologie          ;medicine                    ;oncology          
The Open Dentistry Journal;Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
The open diabetes journal;Medizin                    ;Diabetologie          ;medicine                    ;diabetology          
Open Forum Infectious Diseases;Medizin                    ;Infektionskrankheiten          ;medicine                    ;infectious diseases          
Open Heart;Medizin                    ;Kardiologie          ;medicine                    ;cardiology          
Open journal of animal sciences;Land- und Forstwirtschaft u.a.                    ;Tierzucht          ;Agriculture and forestry etc.                    ;livestock breeding          
Open journal of apoptosis;Biologie  |  Medizin                    ;Humanbiologie          ;Biology | Medicine                    ;human biology          
Open journal of biophysics;Physik                    ;Biophysik          ;physics                    ;biophysics          
Open journal of clinical & medical case reports;Medizin                    ;Allgemeine medizinische Zeitschriften          ;medicine                    ;General medical journals          
Open journal of endocrine and metabolic diseases;Medizin                    ;Endokrinologie          ;medicine                    ;endocrinology          
Open journal of epidemiology;Medizin                    ;Epidemiologie          ;medicine                    ;epidemiology          
Open journal of genetics;Biologie                    ;Genetik          ;biology                    ;genetics          
Open journal of immunology;Medizin                    ;Immunologie          ;medicine                    ;immunology          
Open journal of medicinal chemistry;Chemie und Pharmazie                    ;Biochemie          ;Chemicals and pharmaceuticals                    ;biochemistry          
Open journal of modern linguistics;Allgemeine Sprach- und Literaturwissenschaft                    ;Allgemeine Linguistik          ;General Linguistics and Literature                    ;General Linguistics          
Open journal of neuroscience;Medizin                    ;Neurologie          ;medicine                    ;neurology          
Open journal of nursing;Medizin                    ;Krankenpflege          ;medicine                    ;nursing care          
Open journal of obstetrics and gynecology;Medizin                    ;Gynäkologie und Geburtshilfe          ;medicine                    ;Gynaecology and obstetrics          
Open journal of ophthalmology;Medizin                    ;Augenheilkunde          ;medicine                    ;ophthalmology          
Open journal of pediatrics;Medizin                    ;Kinderheilkunde          ;medicine                    ;paediatrics          
Open journal of philosophy;Philosophie                    ;Allgemeine Philosophie          ;philosophy                    ;General Philosophy          
Open journal of preventive medicine;Medizin                    ;Präventivmedizin        ;medicine                    ;preventive medicine        
Open journal of statistics;Mathematik  |  Wirtschaftswissenschaften                    ;Mathematische Statistik          ;Mathematics | Economics                    ;Mathematical Statistics          
The Open Medicinal Chemistry Journal;Medizin                    ;Labormedizin  |  Pharmakologie          ;medicine                    ;Laboratory Medicine | Pharmacology          
The Open Medical Informatics Journal;Informatik  |  Medizin                    ;Medizinische Informatik          ;Computer Science | Medicine                    ;Medical Informatics          
The Open Microbiology Journal;Biologie                    ;Mikrobiologie          ;biology                    ;microbiology          
The Open Neuroimaging Journal;Medizin                    ;Neurologie          ;medicine                    ;neurology          
The Open Neurology Journal;Medizin                    ;Neurologie          ;medicine                    ;neurology          
The Open Nursing Journal;Medizin                    ;Krankenpflege          ;medicine                    ;nursing care          
The Open Ophthalmology Journal;Medizin                    ;Augenheilkunde          ;medicine                    ;ophthalmology          
The Open Orthopaedics journal;Medizin                    ;Orthopädie          ;medicine                    ;orthopedics          
The Open Respiratory Medicine Journal;Medizin                    ;Pulmologie          ;medicine                    ;pulmonology          
The Open Rheumatology Journal;Medizin                    ;Rheumatologie          ;medicine                    ;rheumatology          
The Open Urology & Nephrology Journal;Medizin                    ;Neurologie          ;medicine                    ;neurology          
Open Veterinary Journal;Medizin                    ;Tiermedizin          ;medicine                    ;veterinary medicine          
The Open Virology Journal;Biologie  |  Medizin                    ;Virologie          ;Biology | Medicine                    ;virology          
Operative Orthopadie Und Traumatologie;Medizin;Orthopädie | Traumatologie;medicine;Orthopaedics | Traumatology
Operations Research for Health Care;Medizin                    ;Öffentliches Gesundheitswesen          ;medicine                    ;public health care          
Operative techniques in thoracic and cardiovascular surgery : a comparative atlas : an official publication of the American Association for Thoracic Surgery;Medizin;Kardiologie | Chirurgie | Gefäßchirurgie | Thoraxchirurgie;medicine;Cardiology | Surgery | Vascular Surgery | Thoracic Surgery
Ophthalmic Epidemiology;Medizin                    ;Epidemiologie  |  Augenheilkunde          ;medicine                    ;Epidemiology | Ophthalmology          
Ophthalmic Genetics;Medizin                    ;Augenheilkunde          ;medicine                    ;ophthalmology          
Ophthalmic & Physiological Optics;Medizin                    ;Augenheilkunde          ;medicine                    ;ophthalmology          
Ophthalmology;Medizin                    ;Augenheilkunde          ;medicine                    ;ophthalmology          
Optometry and Vision Science;Medizin                    ;Augenheilkunde          ;medicine                    ;ophthalmology          
Optics Communications;Physik                    ;Optik          ;physics                    ;optics          
Optical engineering (Redondo Beach, Calif.);Maschinenwesen, Werkstoffwissenschaften | Physik;Optik;Mechanical Engineering, Materials Science | Physics;optics
Optics letters;Physik                    ;Optik          ;physics                    ;optics          
Optical nanoscopy;Physik                    ;Optik  |  Nanotechnologie          ;physics                    ;Optics | Nanotechnology          
Oral Diseases;Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
Oral health case reports;Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
Oral health and dental management;Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
Oral and Maxillofacial Surgery;Medizin                    ;Mund-Kiefer-Gesichts-Chirurgie          ;medicine   ;Mouth, jaw and face surgery          
Oral Oncology;Medizin                    ;Mund-Kiefer-Gesichts-Chirurgie  |  Onkologie          ;medicine                    ;Oral and Maxillofacial Surgery | Oncology          
Oral Radiology;Medizin                    ;Zahnmedizin  |  Radiologie          ;medicine                    ;Dentistry | Radiology          
Ore Geology Reviews;Geowissenschaften                    ;Allgemeine Geowissenschaften          ;earth sciences                    ;General Earth Sciences          
Organogenesis;Biologie  |  Medizin                    ;Zellbiologie          ;Biology | Medicine                    ;cell biology          
Organic & Biomolecular Chemistry;Chemie und Pharmazie                    ;Anorganische Chemie          ;Chemicals and pharmaceuticals                    ;Inorganic Chemistry          
Organic Chemistry Frontiers;Chemie und Pharmazie                    ;Organische Chemie          ;Chemicals and pharmaceuticals                    ;Organic Chemistry          
Organic Electronics;Chemie und Pharmazie  |  Elektrotechnik,  Mess- und Regelungstechnik                    ;Organische Elektronik          ;Chemistry and pharmaceuticals | Electrical engineering, measurement and control technology                    ;Organic Electronics          
Organic letters;Chemie und Pharmazie                    ;Organische Chemie          ;Chemicals and pharmaceuticals                    ;Organic Chemistry          
Organic and Medicinal Chemistry Letters;Chemie und Pharmazie  |  Medizin                    ;Organische Chemie  |  Labormedizin          ;Chemistry and Pharmacy | Medicine                    ;Organic Chemistry | Laboratory Medicine          
Oriental Pharmacy and Experimental Medicine;Medizin                    ;Pharmazie  |  Biomedizin          ;medicine                    ;Pharmacy | Biomedicine          
Origins of Life and Evolution of the Biosphere;Biologie  |  Geowissenschaften                    ;Genetik  |  Paläontologie          ;Biology | Earth Sciences                    ;Genetics | Paleontology          
Orphanet Journal of Rare Diseases;Medizin                    ;Allgemeine medizinische Zeitschriften          ;medicine                    ;General medical journals          
Orthodontics & Craniofacial Research;Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
Der Orthopade;Medizin                    ;Orthopädie          ;medicine                    ;orthopedics          
Orthopaedic Journal of Sports Medicine;Medizin  |  Sport                    ;Sportmedizin          ;Medicine | Sports                    ;sports medicine          
Orthopedic & muscular system : current research;Medizin                    ;Orthopädie  |  Chirurgie          ;medicine                    ;Orthopaedics | Surgery          
Orthopaedic Surgery;Medizin                    ;Chirurgie  |  Orthopädie          ;medicine                    ;Surgery | Orthopaedics          
Orthopaedics and Trauma;Medizin                    ;Orthopädie          ;medicine                    ;orthopedics          
Or Spectrum;Mathematik  |  Wirtschaftswissenschaften                    ;Wirtschaftsmathematik          ;Mathematics | Economics                    ;business mathematics          
Osteoarthritis and Cartilage;Medizin                    ;Orthopädie          ;medicine                    ;orthopedics          
Osteoarthritis and cartilage / OARS, Osteoarthritis Research Society;Medizin                    ;Orthopädie          ;medicine                    ;orthopedics          
Osteopathic Medicine and Primary Care;Medizin                    ;Orthopädie  |  Alternative Medizin          ;medicine                    ;Orthopaedics | Alternative Medicine          
Osteoporosis International;Medizin                    ;Orthopädie          ;medicine                    ;orthopedics          
Osteoporosis international : a journal established as result of cooperation between the European Foundation for Osteoporosis and the National Osteoporosis Foundation of the USA;Medizin                    ;Orthopädie          ;medicine                    ;orthopedics          
Oxford Journal of Legal Studies;Rechtswissenschaft                    ;Allgemeine Rechtswissenschaft          ;jurisprudence                    ;General jurisprudence          
Oxford Review of Education;Pädagogik                    ;Allgemeine pädagogische Zeitschriften          ;pedagogy                    ;General educational journals          
Oxidants and antioxidants in medical science;Chemie und Pharmazie;Antioxidantien;Chemicals and pharmaceuticals;antioxidants
Pacing and Clinical Electrophysiology;Medizin                    ;Kardiologie          ;medicine                    ;cardiology          
Padiatrie Und Padologie;Medizin                    ;Kinderheilkunde          ;medicine                    ;paediatrics          
Paediatric Anaesthesia;Medizin                    ;Anästhesie  |  Kinderheilkunde          ;medicine                    ;Anaesthesia | Pediatrics          
Paediatrics and Child Health;Medizin                    ;Kinderheilkunde          ;medicine                    ;paediatrics          
Paediatrics and International Child Health;Medizin                    ;Kinderheilkunde          ;medicine                    ;paediatrics          
Paediatric and Perinatal Epidemiology;Medizin                    ;Epidemiologie  |  Kinderheilkunde          ;medicine                    ;Epidemiology | Pediatrics          
Pain;Medizin                    ;Anästhesie  |  Neurologie          ;medicine                    ;Anaesthesia | Neurology          
Pain Medicine (Malden, Mass.)Pain Medicine: The Official Journal of the American Academy of Pain Medicine;Medizin                    ;Anästhesie  |  Neurologie          ;medicine                    ;Anaesthesia | Neurology          
Pain Practice;Medizin                    ;Anästhesie  |  Neurologie          ;medicine                    ;Anaesthesia | Neurology          
Pain Research & Management;Medizin                    ;Anästhesie  |  Neurologie          ;medicine                    ;Anaesthesia | Neurology          
Pakistan Journal of Medical Sciences;Medizin                    ;Allgemeine medizinische Zeitschriften          ;medicine                    ;General medical journals          
Palaeogeography, Palaeoclimatology, Palaeoecology;Geowissenschaften  |  Physik                    ;Paläontologie  |  Paläoklimatologie          ;Earth Sciences | Physics                    ;Paleontology | Paleoclimatology          
Palaeontology;Geowissenschaften                    ;Paläontologie          ;earth sciences                    ;paleontology          
Palaontologische Zeitschrift;Geowissenschaften                    ;Paläontologie          ;earth sciences                    ;paleontology          
Palaeobiodiversity and Palaeoenvironments;Geowissenschaften                    ;Paläontologie          ;earth sciences                    ;paleontology          
Paleobiology;Geowissenschaften                    ;Paläontologie          ;earth sciences                    ;paleontology          
Paleoceanography;Geowissenschaften                    ;Paläontologie  |  Ozeanographie          ;earth sciences                    ;Paleontology | Oceanography          
Palgrave communications;Allgemeines, Fachübergreifendes                    ;Fachübergreifende Zeitschrift          ;General, interdisciplinary information                    ;interdisciplinary journal          
Palliative Medicine;Medizin                    ;Anästhesie  |  Neurologie          ;medicine                    ;Anaesthesia | Neurology          
Palliative & Supportive Care;Medizin                    ;Palliativmedizin          ;medicine                    ;palliative care          
Pancreatology;Medizin                    ;Innere Medizin          ;medicine                    ;Internal Medicine          
Pancreatic disorders & therapy;Medizin;;medicine;
The Pan African medical journal;Medizin                    ;Allgemeine medizinische Zeitschriften          ;medicine                    ;General medical journals          
Papillomavirus research;Medizin                    ;Gynäkologie          ;medicine                    ;gynaecology          
Papillomavirus Research (Amsterdam, Netherlands);Medizin                    ;Gynäkologie          ;medicine                    ;gynaecology          
Parasite : Journal de la Société Française de Parasitologie ;Medizin                    ;Parasitologie          ;medicine                    ;parasitology          
Parasite;Medizin                    ;Parasitologie          ;medicine                    ;parasitology          
Parasite Epidemiology and Control;Medizin                    ;Parasitologie  |  Epdemiologie          ;medicine                    ;Parasitology | Epdemiology          
Parasite Immunology;Biologie  |  Medizin                    ;Parasitologie  |  Tiermedizin          ;Biology | Medicine                    ;Parasitology | Veterinary Medicine          
Parasitology;Biologie  |  Medizin                    ;Parasitologie  |  Tiermedizin          ;Biology | Medicine                    ;Parasitology | Veterinary Medicine          
Parasitology International;Biologie  |  Medizin                    ;Parasitologie  |  Tiermedizin          ;Biology | Medicine                    ;Parasitology | Veterinary Medicine          
Parasitology Research;Biologie  |  Medizin                    ;Parasitologie  |  Tiermedizin          ;Biology | Medicine                    ;Parasitology | Veterinary Medicine          
Parasites & Vectors;Medizin                    ;Parasitologie          ;medicine                    ;parasitology          
Parkinsonism & Related Disorders;Medizin                    ;Neurologie          ;medicine                    ;neurology          
Particle and Fibre Toxicology;Medizin                    ;Toxikologie  |  Immunologie          ;medicine                    ;Toxicology | Immunology          
Particle & Particle Systems Characterization;Chemie und Pharmazie  |  Physik                    ;Nanotechnologie          ;Chemistry and Pharmacy | Physics                    ;nanotechnology          
Pastoralism : research, policy and practice;Land- und Forstwirtschaft u.a.;Tierzucht;Agriculture and forestry etc.;livestock breeding
Pastoral Psychology;Psychologie  |  Theologie und Religionswissenschaft                    ;Seelsorge          ;Psychology | Theology and Religious Studies                    ;pastoral care          
Past & Present;Ethnologie (Volks- und Völkerkunde)                    ;Indigene Völker          ;Ethnology (Folk and Ethnology)                    ;indigenous peoples          
Pathobiology;Biologie  |  Medizin                    ;Molekularbiologie  |  Zellbiologie          ;Biology | Medicine                    ;Molecular Biology | Cell Biology          
Pathobiology of Aging & Age Related Diseases;Medizin                    ;Geriatrie  |  Pathologie          ;medicine                    ;Geriatrics | Pathology          
PathoGenetics;Medizin                    ;Humanbiologie          ;medicine                    ;human biology          
Pathogens;Biologie  |  Medizin                    ;Biomedizin          ;Biology | Medicine                    ;biomedicine          
Pathogens and Disease;Biologie  |  Medizin                    ;Immunologie  |  Mikrobiologie  |  Labormedizin          ;Biology | Medicine                    ;Immunology | Microbiology | Laboratory Medicine          
Pathogens and Global Health;Medizin                    ;Öffentliches Gesundheitswesen          ;medicine                    ;public health care          
Pathology International;Medizin                    ;Pathologie          ;medicine                    ;pathology          
Pathology Oncology Research;Medizin                    ;Pathologie  |  Onkologie          ;medicine                    ;Pathology | Oncology          
Patient Education and Counseling;Medizin                    ;Öffentliches Gesundheitswesen  |  Krankenpflege          ;medicine                    ;Public Healthcare | Nursing          
Patient preference and adherence;Medizin                    ;Allgemeine medizinische Zeitschriften          ;medicine                    ;General medical journals          
Patient Related Outcome Measures;Medizin                    ;Öffentliches Gesundheitswesen          ;medicine                    ;public health care          
Patient Safety in Surgery;Medizin                    ;Chirurgie          ;medicine                    ;surgery          
Pattern Analysis and Applications;Informatik                    ;Künstliche Intelligenz          ;computer science                    ;Artificial Intelligence          
Pattern Recognition;Informatik                    ;Künstliche Intelligenz          ;computer science                    ;Artificial Intelligence          
Pattern Recognition Letters;Informatik                    ;Mustererkennung          ;computer science                    ;pattern recognition          
Pediatrics;Medizin                    ;Kinderheilkunde          ;medicine                    ;paediatrics          
Pediatric Allergy and Immunology;Medizin                    ;Kinderheilkunde  |  Immunologie          ;medicine                    ;Paediatrics | Immunology          
Pediatric Allergy, Immunology, and Pulmonology;Medizin                    ;Kinderheilkunde  |  Allergologie  |  Immunologie  |  Pulmologie          ;medicine                    ;Pediatrics | Allergology | Immunology | Pulmonology          
Pediatric Blood & Cancer;Medizin                    ;Onkologie  |  Kinderheilkunde          ;medicine                    ;Oncology | Pediatrics          
Pediatric Cardiology;Medizin                    ;Kinderheilkunde  |  Kardiologie          ;medicine                    ;Pediatrics | Cardiology          
Pediatric care (Wilmington, Del.);Medizin                    ;Kinderheilkunde          ;medicine                    ;paediatrics          
Pediatric Clinics of North America;Medizin                    ;Kinderheilkunde          ;medicine                    ;paediatrics          
Pediatric Dermatology;Medizin                    ;Dermatologie und Venerologie  |  Kinderheilkunde          ;medicine                    ;Dermatology and Venerology | Paediatrics          
Pediatric Diabetes;Medizin                    ;Kinderheilkunde  |  Diabetologie          ;medicine                    ;Pediatrics | Diabetology          
Pediatric Hematology and Oncology;Medizin                    ;Kinderheilkunde  |  Hämatologie  |  Onkologie          ;medicine                    ;Paediatrics | Hematology | Oncology          
The Pediatric Infectious Disease Journal;Medizin                    ;Infektionskrankheiten  |  Kinderheilkunde          ;medicine                    ;Infectious diseases | Pediatrics          
Pediatric Nephrology (Berlin, Germany);Medizin;Nephrologie | Kinderheilkunde;medicine;Nephrology | Pediatrics
Pediatric neurology;Medizin                    ;Kinderheilkunde  |  Neurologie          ;medicine                    ;Pediatrics | Neurology          
Pediatric Neurology Briefs;Medizin                    ;Kinderheilkunde  |  Neurologie          ;medicine                    ;Pediatrics | Neurology          
Pediatric Obesity;Medizin                    ;Kinderheilkunde          ;medicine                    ;paediatrics          
Pediatric Pulmonology;Medizin                    ;Pulmologie  |  Kinderheilkunde          ;medicine                    ;Pulmology | Pediatrics          
Pediatric Radiology;Medizin                    ;Radiologie  |  Kinderheilkunde          ;medicine                    ;Radiology | Pediatrics          
Pediatric Rheumatology Online Journal;Medizin                    ;Kinderheilkunde  |  Rheumatologie          ;medicine                    ;Pediatrics | Rheumatology          
Pediatric Surgery International;Medizin                    ;Chirurgie  |  Kinderheilkunde          ;medicine                    ;Surgery | Pediatrics          
Pediatric Transplantation;Medizin                    ;Transplantationsmedizin  |  Kinderheilkunde          ;medicine                    ;Transplantation medicine | Pediatrics          
PeerJ;Biologie  |  Medizin                    ;Biomedizin          ;Biology | Medicine                    ;biomedicine          
Peptides;Chemie und Pharmazie                    ;Organische Chemie          ;Chemicals and pharmaceuticals                    ;Organic Chemistry          
Performance Research;Kunstgeschichte                    ;Darstellende Kunst          ;art history                    ;Performing Arts          
Perfusion;Medizin                    ;Angiologie          ;medicine                    ;angiology          
Periodontology 2000;Medizin                    ;Zahnmedizin          ;medicine                    ;dentistry          
Perioperative Medicine;Medizin                    ;Chirurgie  |  Anästhesie          ;medicine                    ;Surgery | Anesthesia          
Personality and Mental Health;Medizin                    ;Psychiatrie          ;medicine                    ;psychiatry          
Perspectives in Clinical Research;Medizin                    ;Klinische Medizin          ;medicine                    ;Clinical Medicine          
Perspectives in Medicinal Chemistry;Chemie und Pharmazie  |  Medizin                    ;Labormedizin          ;Chemistry and Pharmacy | Medicine                    ;laboratory medicine          
Perspectives on Medical Education;Medizin                    ;Medizinische Ausbildung          ;medicine                    ;Medical education          
Perspectives on Psychological Science;Psychologie                    ;Allgemeine psychologische Zeitschriften          ;psychology                    ;General psychological journals          
Perspectives on Sexual and Reproductive Health;Medizin                    ;Sexualmedizin          ;medicine                    ;sexual medicine          
Personality and Individual Differences;Psychologie                    ;Persönlichkeitspsychologie  |  Psychologie          ;psychology                    ;Personality Psychology | Psychology          
Personality & Social Psychology Bulletin;Psychologie                    ;Persönlichkeitspsychologie          ;psychology                    ;personality psychology          
Personality and Social Psychology Review;Psychologie                    ;Persönlichkeitspsychologie  |  Sozialpsychologie          ;psychology                    ;Personality Psychology | Social Psychology          
Pest Management Science;Land- und Forstwirtschaft u.a.                    ;Phytopathologie          ;Agriculture and forestry etc.                    ;phytopathology          
Pflugers Archiv;Medizin                    ;Humanphysiologie          ;medicine                    ;human physiology          
Pharmaceuticals;Chemie und Pharmazie                    ;Pharmazie          ;Chemicals and pharmaceuticals                    ;pharmacy          
Pharmaceutics;Chemie und Pharmazie                    ;Pharmazeutik          ;Chemicals and pharmaceuticals                    ;pharmaceutics          
Pharmacoeconomics;Chemie und Pharmazie                    ;Pharmazeutische Industrie  |  Pharmazie          ;Chemicals and pharmaceuticals                    ;Pharmaceutical Industry | Pharmaceuticals          
Pharmacoepidemiology and Drug Safety;Chemie und Pharmazie  |  Medizin                    ;Pharmazie          ;Chemistry and Pharmacy | Medicine                    ;pharmacy          
The Pharmacogenomics Journal;Chemie und Pharmazie                    ;Pharmazie          ;Chemicals and pharmaceuticals                    ;pharmacy          
Pharmacognosy Research;Chemie und Pharmazie                    ;Pharmazie          ;Chemicals and pharmaceuticals                    ;pharmacy          
Pharmacognosy Magazine;Chemie und Pharmazie  |  Medizin                    ;Phytomedizin          ;Chemistry and Pharmacy | Medicine                    ;phytomedicine          
Pharmacology, Biochemistry, and Behavior;Chemie und Pharmazie  |  Medizin                    ;Pharmazie  |  Pharmakologie  |  Biochemie          ;Chemistry and Pharmacy | Medicine                    ;Pharmacy | Pharmacology | Biochemistry          
Pharmacology, drug development & therapeutics;Chemie und Pharmazie                    ;Pharmazie          ;Chemicals and pharmaceuticals                    ;pharmacy          
Pharmacology & pharmacy;Medizin                    ;Pharmazie  |  Pharmakologie          ;medicine                    ;Pharmacy | Pharmacology          
Pharmacological Research;Chemie und Pharmazie  |  Medizin                    ;Pharmazie  |  Pharmakologie          ;Chemistry and Pharmacy | Medicine                    ;Pharmacy | Pharmacology          
Pharmacology Research & Perspectives;Medizin                    ;Pharmakologie          ;medicine                    ;pharmacology          
